module,mutant_id,killed_count,killed_by,classification,explanation
sensor,1,0,,S4_configuracao_nao_exercitada,"Mutação relacionada a expire_after/expiração do sensor, dependente de configuração específica."
sensor,2,0,,S4_configuracao_nao_exercitada,"Mutação relacionada a expire_after/expiração do sensor, dependente de configuração específica."
sensor,3,0,,S4_configuracao_nao_exercitada,"Mutação relacionada a expire_after/expiração do sensor, dependente de configuração específica."
sensor,4,0,,S4_configuracao_nao_exercitada,"Mutação relacionada a expire_after/expiração do sensor, dependente de configuração específica."
sensor,5,0,,S4_configuracao_nao_exercitada,"Mutação relacionada a expire_after/expiração do sensor, dependente de configuração específica."
sensor,6,1,fume,K1_morto_por_trace,Mutante morto por: fume.
sensor,7,0,,S4_configuracao_nao_exercitada,"Mutação relacionada a expire_after/expiração do sensor, dependente de configuração específica."
sensor,8,0,,S4_configuracao_nao_exercitada,Mutação relacionada a atributos/configuração do sensor não necessariamente exercitados pelo cenário.
sensor,9,0,,S5_tratamento_silencioso,Mutação possivelmente mascarada pelo tratamento silencioso ou fallback do Home Assistant.
sensor,10,0,,S5_tratamento_silencioso,Mutação possivelmente mascarada pelo tratamento silencioso ou fallback do Home Assistant.
sensor,11,0,,S5_tratamento_silencioso,Mutação possivelmente mascarada pelo tratamento silencioso ou fallback do Home Assistant.
sensor,12,3,boofuzz fume scapy,K1_morto_por_trace,"Mutante morto por: boofuzz, fume, scapy."
sensor,13,3,boofuzz fume scapy,K1_morto_por_trace,"Mutante morto por: boofuzz, fume, scapy."
sensor,14,3,boofuzz fume scapy,K1_morto_por_trace,"Mutante morto por: boofuzz, fume, scapy."
sensor,15,0,,S4_configuracao_nao_exercitada,Mutação relacionada a atributos/configuração do sensor não necessariamente exercitados pelo cenário.
sensor,16,3,boofuzz fume scapy,K1_morto_por_trace,"Mutante morto por: boofuzz, fume, scapy."
sensor,17,0,,S4_configuracao_nao_exercitada,Mutação relacionada a atributos/configuração do sensor não necessariamente exercitados pelo cenário.
sensor,18,0,,S4_configuracao_nao_exercitada,Mutação relacionada a atributos/configuração do sensor não necessariamente exercitados pelo cenário.
